
12395:7441 | Вайб-чек | 1600×11838 | членов 13
  7 | form | 15842:17120 | 913 | признак | 1 поле почты, 5 плейсхолдеров ввода, кнопка отправить/хочу консультацию
  8 | footer-social | 15673:440 | 518 | признак | последний член, соцсети и копирайт: социальных сетях, присоединяйтесь, телеграм, сделано в хабре

16418:3180 | Frame 2087325353 | 1600×11513 | членов 12
  1 | hero | 16418:3191 | 1030 | признак | первый член стопки выше 400 px (1030 px), позиция 1; строка разделов лежит внутри него, отдельной шапки нет
  2 | ? | 16559:2400 | 398 | — | не хватило: текстов 5, повторов 3, полей 0, высота 398
  3 | ? | 16447:5563 | 958 | — | не хватило: текстов 0, повторов 2, полей 0, высота 958
  4 | features | 17251:8965 | 866 | признак | 7 × «Frame» под словом вас ждёт
  5 | program | 16418:3583 | 1549 | признак | 4 дат и 16 отметок времени в одном блоке
  6 | speakers | 16418:3689 | 985 | признак | строка-заголовок «Модератор нетворкинга» и 4 карточек
  7 | interactive | 16466:15271 | 686 | признак | слово фреймворк в имени секции или её ближних слоёв
  8 | partners | 16687:2168 | 2366 | признак | слово работодател в заголовке, 6 логотипов и 4 развёрнутых описаний
  9 | lead-in | 16651:7109 | 537 | признак | 2 строк текста, ни карточек, ни полей, ни кнопки, высота 537 px
  10 | faq | 16418:4141 | 686 | признак | 4 × «Frame» под заголовком FAQ
  11 | ecosystem-list | 16418:4183 | 970 | признак | перечень продуктов Хабра: хабр карьер, экосистем, калькулятор зарплат
  12 | footer-social | 16418:4910 | 482 | признак | последний член, соцсети и копирайт: социальных сетях, присоединяйтесь, сделано в хабре

17473:826 | ТТ-7_2024 | 1440×9182 | членов 11
  1 | site-header | 17473:834 | 70 | признак | член 1, высота 70 px — полоса ниже 180 px над hero
  2 | hero | 17473:844 | 839 | признак | первый член стопки выше 400 px (839 px), позиция 2
  3 | timeline | 17473:947 | 532 | признак | 7 разных годов в одном блоке
  4 | form | 17473:983 | 257 | признак | 1 поле почты, 0 плейсхолдеров ввода, кнопка отправки
  5 | testimonials | 17473:1000 | 1321 | признак | 3 прямых цитат в кавычках
  6 | cta | 17473:1093 | 534 | признак | короткая секция 534 px, кнопка отправить, полей ввода меньше двух
  7 | program | 17473:1214 | 713 | признак | слово этап/даты в заголовке, 8 упоминаний месяцев и 0 отметок времени
  8 | rules | 17473:1263 | 1357 | признак | слово правила/критерии оценки в заголовке и нумерованные пункты вида _01 или ( 1 )
  9 | nominations | 17473:1368 | 1251 | признак | слово «номинации» в заголовке и нумерованный перечень, 20 × «Vector»
  10 | form | 17473:1539 | 1319 | признак | 1 поле почты, 0 плейсхолдеров ввода, кнопка отправить
  11 | footer-social | 17473:1655 | 989 | признак | последний член, соцсети и копирайт: социальных сетях, подписывайтесь, telegram, сделано в хабре

19319:7049 | Медицинское исследование | 1440×4145 | членов 5
  1 | site-header | 19319:7060 | 110 | признак | член 1, высота 110 px — полоса ниже 180 px над hero
  2 | hero | 19319:7083 | 640 | признак | первый член стопки выше 400 px (640 px), позиция 2
  3 | features | 19319:7114 | 900 | признак | 3 × «card» под словом имени слоя «section-offer»
  4 | features | 19319:7176 | 1708 | признак | 4 × «Group» под словом формат
  5 | footer-corporate | 19319:7243 | 787 | признак | последний член, корпоративный блок: ооо «хабр»

20216:120 | Frame 2087328134 | 1440×9046 | членов 12
  1 | hero | 20097:8612 | 723 | признак | первый член стопки выше 400 px (723 px), позиция 1; строка разделов лежит внутри него, отдельной шапки нет
  2 | form | 20319:121 | 408 | признак | 1 поле почты, 5 плейсхолдеров ввода, кнопка отправки
  3 | features | 20107:16365 | 484 | признак | 2 × «Vector» под словом почему
  4 | lead-in | 20319:394 | 686 | признак | 3 строк текста, ни карточек, ни полей, ни кнопки, высота 686 px
  5 | interactive | 20112:27456 | 813 | признак | слово доска жалоб в имени секции или её ближних слоёв
  6 | partners | 20112:27512 | 1096 | признак | слово организатор в заголовке, 1 логотипов и 3 развёрнутых описаний
  7 | program | 20130:4150 | 1054 | признак | слово заезд в заголовке, 10 упоминаний месяцев и 18 отметок времени
  8 | speakers | 20131:4390 | 1071 | признак | строка-заголовок «Спикеры» и 8 карточек
  9 | speakers | 20369:2631 | 857 | признак | строка-заголовок «Frame 2087328139» и 2 карточек
  10 | partners | 20357:91 | 947 | признак | слово организатор в заголовке, 1 логотипов и 2 развёрнутых описаний
  11 | faq | 20181:4643 | 1104 | признак | 6 строк, оканчивающихся вопросительным знаком, в блоке 1104 px
  12 | footer-corporate | 20302:31704 | 740 | признак | последний член, корпоративный блок: ооо «хабр»

20572:37377 | dexstop | 1280×7744 | членов 11
  1 | site-header | 20641:250 | 104 | признак | член 1, высота 104 px — полоса ниже 180 px над hero, имя слоя «Header_section», 7 коротких ссылок
  2 | hero | 20775:839 | 616 | признак | первый член стопки выше 400 px (616 px), позиция 2
  3 | features | 20560:34533 | 755 | признак | 5 × «Persona Card» под словом имени слоя «Personas_section»
  4 | features | 20560:35565 | 304 | имя | содержательных признаков нет; имя слоя «Audience Intro»
  5 | program | 20560:35706 | 744 | признак | имя слоя расписания
  6 | program | 20595:342 | 1153 | признак | слово schedule в заголовке, 0 упоминаний месяцев и 0 отметок времени
  7 | form | 20564:36157 | 504 | признак | 1 поле почты, 1 плейсхолдеров ввода, кнопка участвовать
  8 | jobs | 20564:36230 | 1360 | имя | содержательных признаков нет; имя слоя «Jobs_section»
  9 | faq | 20564:36359 | 1080 | признак | 7 × «FAQ Item» под заголовком FAQ
  10 | stats | 20641:273 | 724 | признак | 3 × «Stat Card» под словом «в цифрах» или именем слоя Stat
  11 | footer-social | 20566:37178 | 438 | признак | последний член, соцсети и копирайт: telegram

7869:20760 | Frame 123457212 | 1600×9940 | членов 16
  1 | site-header | 7869:20761 | 160 | признак | член 1, высота 160 px — полоса ниже 180 px над hero, 6 коротких ссылок
